AC	2024	 4	    1256159.88	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
AC	2024	 4	  191596976.00	   45636976.00	  170907536.00	FPE                 	FPE                 	
AC	2024	 4	      25923.78	      12097.79	       2715.37	IPI-EXP             	IPI-Exp             	
AC	2024	 4	    4584760.00	    1111990.38	    3974470.50	FPM                 	FUNDEB              	
AC	2024	 4	       3889.53	       1815.10	        407.42	IPI-EXP             	FUNDEB              	
AC	2024	 4	      25300.57	       8985.24	        823.09	ITR                 	FUNDEB              	
AC	2024	 4	     520673.13	     252548.48	     382844.09	IPVA                	FUNDEB              	
AC	2024	 4	      72664.19	      23207.49	      32841.86	ITCMD               	FUNDEB              	
AC	2024	 4	    5610460.50	    7170894.00	    7202335.50	ICMS                	FUNDEB              	
AC	2024	 4	   28746594.00	    6847225.50	   25642418.00	FPE                 	FUNDEB              	
AC	2024	 4	          0.00	          0.00	    3182099.50	FEP                 	Royalties           	
AC	2024	 4	          0.00	          0.00	       1524.25	CFEM                	Royalties           	
AC	2024	 4	          0.00	          0.00	     113800.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
AL	2024	 4	    2215712.25	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
AL	2024	 4	  230406144.00	   55166108.00	  203878416.00	FPE                 	FPE                 	
AL	2024	 4	     273732.28	     127741.93	      28671.95	IPI-EXP             	IPI-Exp             	
AL	2024	 4	    8030983.50	    1947839.25	    6961958.00	FPM                 	FUNDEB              	
AL	2024	 4	      17470.78	       8153.08	       1830.01	IPI-EXP             	FUNDEB              	
AL	2024	 4	      13821.70	       1109.53	       1489.15	ITR                 	FUNDEB              	
AL	2024	 4	    1615119.38	     493535.38	    1089875.63	IPVA                	FUNDEB              	
AL	2024	 4	     101300.56	      73037.62	     104596.20	ITCMD               	FUNDEB              	
AL	2024	 4	    3973502.25	   24663304.00	    9903690.00	ICMS                	FUNDEB              	
AL	2024	 4	   14705522.00	    3520941.00	   13012407.00	FPE                 	FUNDEB              	
AL	2024	 4	          0.00	    3000262.25	          0.00	ANP                 	Royalties           	
AL	2024	 4	          0.00	          0.00	    3684900.00	FEP                 	Royalties           	
AL	2024	 4	          0.00	          0.00	      74092.86	CFEM                	Royalties           	
AL	2024	 4	     598910.50	          0.00	          0.00	CFH                 	Royalties           	
AL	2024	 4	          0.00	          0.00	    1499875.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
AL	2024	 4	          0.00	          0.00	    3068127.50	COUN VAAR           	FUNDEB              	
AL	2024	 4	          0.00	          0.00	   13210891.00	COUN VAAF           	FUNDEB              	
AM	2024	 4	    2402742.25	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
AM	2024	 4	       1779.93	          0.00	       2959.43	IOF Ouro            	IOF-Ouro            	
AM	2024	 4	  174025024.00	   39494464.00	  166543232.00	FPE                 	FPE                 	
AM	2024	 4	    1477735.38	     689610.94	     154784.64	IPI-EXP             	IPI-Exp             	
AM	2024	 4	   10212647.00	    2476981.25	    8853214.00	FPM                 	FUNDEB              	
AM	2024	 4	     151319.16	      70615.73	      15849.87	IPI-EXP             	FUNDEB              	
AM	2024	 4	       4675.84	       1566.76	        753.58	ITR                 	FUNDEB              	
AM	2024	 4	    3959757.00	    2263092.00	    1291479.00	IPVA                	FUNDEB              	
AM	2024	 4	      52102.06	     125302.13	     124770.99	ITCMD               	FUNDEB              	
AM	2024	 4	    4588094.50	   26654428.00	   36416336.00	ICMS                	FUNDEB              	
AM	2024	 4	   17820048.00	    4044207.50	   17053918.00	FPE                 	FUNDEB              	
AM	2024	 4	          0.00	   17566320.00	          0.00	ANP                 	Royalties           	
AM	2024	 4	          0.00	          0.00	    3863389.75	FEP                 	Royalties           	
AM	2024	 4	          0.00	          0.00	     211655.34	CFEM                	Royalties           	
AM	2024	 4	     108339.94	          0.00	          0.00	CFH                 	Royalties           	
AM	2024	 4	          0.00	          0.00	    1336250.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
AM	2024	 4	          0.00	          0.00	    3899535.50	COUN VAAR           	FUNDEB              	
AM	2024	 4	          0.00	          0.00	   39889012.00	COUN VAAF           	FUNDEB              	
AP	2024	 4	     944338.25	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
AP	2024	 4	  186958768.00	   44988112.00	  164135296.00	FPE                 	FPE                 	
AP	2024	 4	     160247.38	      74782.23	      16785.03	IPI-EXP             	IPI-Exp             	
AP	2024	 4	    3581239.25	     868595.88	    3104531.00	FPM                 	FUNDEB              	
AP	2024	 4	      23398.89	      10919.49	       2450.89	IPI-EXP             	FUNDEB              	
AP	2024	 4	        235.82	        115.65	        545.44	ITR                 	FUNDEB              	
AP	2024	 4	    1221332.38	     882753.25	     345720.09	IPVA                	FUNDEB              	
AP	2024	 4	       5016.83	      10109.56	       3521.55	ITCMD               	FUNDEB              	
AP	2024	 4	    2196660.75	   10787197.00	     558633.81	ICMS                	FUNDEB              	
AP	2024	 4	   27299200.00	    6569039.00	   23966578.00	FPE                 	FUNDEB              	
AP	2024	 4	          0.00	          0.00	    2878358.25	FEP                 	Royalties           	
AP	2024	 4	          0.00	          0.00	      70684.72	CFEM                	Royalties           	
AP	2024	 4	     424778.94	          0.00	          0.00	CFH                 	Royalties           	
AP	2024	 4	          0.00	          0.00	     508100.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
AP	2024	 4	          0.00	          0.00	     952262.69	COUN VAAR           	FUNDEB              	
BA	2024	 4	   10270788.00	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
BA	2024	 4	  499686400.00	  121950504.00	  428801184.00	FPE                 	FPE                 	
BA	2024	 4	   11730251.00	    5474125.50	    1228679.13	IPI-EXP             	IPI-Exp             	
BA	2024	 4	   33488100.00	    8122223.00	   29030410.00	FPM                 	FUNDEB              	
BA	2024	 4	     759888.63	     354615.31	      79594.19	IPI-EXP             	FUNDEB              	
BA	2024	 4	      28041.92	      11041.77	       7296.80	ITR                 	FUNDEB              	
BA	2024	 4	    3396040.75	    1885033.88	    1874113.00	IPVA                	FUNDEB              	
BA	2024	 4	     531552.88	     400042.63	     289551.84	ITCMD               	FUNDEB              	
BA	2024	 4	   61297832.00	   64126444.00	   29019898.00	ICMS                	FUNDEB              	
BA	2024	 4	   32369816.00	    7899985.00	   27777852.00	FPE                 	FUNDEB              	
BA	2024	 4	          0.00	   15233858.00	          0.00	ANP                 	Royalties           	
BA	2024	 4	          0.00	          0.00	    6842529.00	FEP                 	Royalties           	
BA	2024	 4	          0.00	          0.00	    2286387.50	CFEM                	Royalties           	
BA	2024	 4	    1800630.63	          0.00	          0.00	CFH                 	Royalties           	
BA	2024	 4	          0.00	          0.00	    9940438.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
BA	2024	 4	          0.00	          0.00	    6140923.50	COUN VAAR           	FUNDEB              	
BA	2024	 4	          0.00	          0.00	   78368464.00	COUN VAAF           	FUNDEB              	
CE	2024	 4	    6105080.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
CE	2024	 4	  386692192.00	   94778144.00	  329499424.00	FPE                 	FPE                 	
CE	2024	 4	    2048357.88	     955901.88	     214554.19	IPI-EXP             	IPI-Exp             	
CE	2024	 4	   16756935.00	    4064236.50	   14526375.00	FPM                 	FUNDEB              	
CE	2024	 4	     122364.41	      57103.40	      12816.96	IPI-EXP             	FUNDEB              	
CE	2024	 4	       1728.85	        510.27	        613.46	ITR                 	FUNDEB              	
CE	2024	 4	    7811388.50	    2531813.00	    1401332.75	IPVA                	FUNDEB              	
CE	2024	 4	     829062.44	       1838.48	          0.00	ITCMD               	FUNDEB              	
CE	2024	 4	   12990320.00	   22334254.00	   40726976.00	ICMS                	FUNDEB              	
CE	2024	 4	   23100134.00	    5661836.00	   19683566.00	FPE                 	FUNDEB              	
CE	2024	 4	          0.00	     355800.22	          0.00	ANP                 	Royalties           	
